object_code,object_id,room_id,floor_id,class,file,cluster_id,center_x,center_y,center_z,size_x,size_y,size_z,yaw_rad
0-4-0,0,4,0,shell,shell_004.ply,0,1.461389,6.331371,1.362168,2.413632,2.238314,2.932452,-0.918290
0-4-1,1,4,0,table,table_004.ply,0,1.413435,6.295362,2.759160,0.434333,0.193989,0.014746,-0.715001
0-4-2,2,4,0,door,door_004.ply,0,1.587735,5.640424,1.093424,1.379560,0.226773,2.157475,-0.020419
0-4-3,3,4,0,window,window_004.ply,0,2.156112,5.839219,0.013130,0.235553,0.043523,0.086131,-0.087822
