file,cluster_id,center_x,center_y,center_z,size_x,size_y,size_z,yaw_rad
shell_002.ply,0,2.210352,9.996057,4.777395,4.028715,3.016093,4.297996,-1.835552
chair_002.ply,0,1.751313,8.880350,3.477633,0.862564,0.470239,0.326471,-0.592421
door_002.ply,0,2.775917,8.575296,3.987604,0.499143,0.085242,1.911713,-0.305053
door_002.ply,1,2.884909,11.550828,4.214269,0.790446,0.080607,1.048212,-0.099457
window_002.ply,0,1.193903,10.353477,4.263323,0.422876,0.226641,0.296090,-2.153664
window_002.ply,1,1.469657,10.266702,4.526842,0.363357,0.159230,0.185487,-1.456166
