file,cluster_id,center_x,center_y,center_z,size_x,size_y,size_z,yaw_rad
plant_003.ply,0,4.477159,10.788189,1.183400,0.269930,0.208501,0.205398,-1.236598
table_003.ply,0,2.762730,10.400300,0.420440,2.452623,1.010665,0.780879,-1.609708
table_003.ply,1,1.306903,11.474741,0.868064,1.243430,0.367085,0.061126,-1.640466
table_003.ply,2,4.425064,10.020274,0.530354,0.921505,0.825436,0.879555,-0.507105
shell_003.ply,0,3.543425,9.645522,1.362172,7.998076,7.515815,2.932444,-0.960138
chair_003.ply,0,3.192035,9.765838,0.486132,0.568017,0.466028,0.869131,-0.000523
chair_003.ply,1,3.250344,10.303723,0.482424,0.524463,0.460702,0.858654,-0.022866
chair_003.ply,2,2.410205,9.875510,0.460737,0.581311,0.389873,0.862757,-0.661797
chair_003.ply,3,2.231298,10.551086,0.471671,0.716677,0.492409,0.893018,-0.244116
chair_003.ply,4,3.300279,10.981305,0.487838,0.599048,0.529823,0.863247,0.336262
chair_003.ply,5,3.782470,11.858294,0.389035,0.632663,0.550705,0.456553,-1.210798
chair_003.ply,6,2.168615,11.126869,0.678221,0.486704,0.286860,0.435920,-2.057652
curtain_003.ply,0,0.949105,11.779980,1.445117,0.833885,0.295765,1.911540,-1.654021
curtain_003.ply,1,0.797018,9.303307,1.518985,0.841094,0.288095,1.953425,-1.634281
door_003.ply,0,6.105927,8.709466,1.139537,1.011505,0.407590,2.101021,-1.586902
window_003.ply,0,0.731691,11.374990,1.482871,1.802609,0.673516,2.127429,-1.798703
window_003.ply,1,0.555454,9.486266,1.461741,1.732474,0.751807,2.144219,-1.488841
