object_code,object_id,room_id,floor_id,class,file,cluster_id,center_x,center_y,center_z,size_x,size_y,size_z,yaw_rad
1-7-0,0,7,1,shell,shell_007.ply,0,2.317394,1.949808,4.749236,3.867329,3.389392,4.241682,-0.815102
1-7-1,1,7,1,window,window_007.ply,0,1.677130,2.912428,2.820648,0.168534,0.054556,0.122788,-0.035463
1-7-2,2,7,1,door,door_007.ply,0,1.812867,1.916978,3.032810,0.773576,0.054030,0.647838,-1.590572
1-7-3,3,7,1,door,door_007.ply,1,1.768169,1.265761,3.404993,0.157565,0.109997,1.290253,0.649337
1-7-4,4,7,1,door,door_007.ply,2,1.795387,2.131514,4.012809,0.364393,0.072034,1.056300,-1.558754
