object_code,object_id,room_id,floor_id,class,file,cluster_id,center_x,center_y,center_z,size_x,size_y,size_z,yaw_rad
1-4-0,0,4,1,shell,shell_004.ply,0,4.868845,5.479251,4.549092,3.668019,2.425230,3.841381,-1.681046
1-4-1,1,4,1,door,door_004.ply,0,3.758519,4.044510,3.839983,0.277105,0.234658,1.920458,-1.878945
1-4-2,2,4,1,window,window_004.ply,0,5.762452,5.925028,4.151284,0.149713,0.006580,0.033908,-1.608867
1-4-3,3,4,1,window,window_004.ply,1,5.389301,5.921090,4.458563,0.054339,0.013744,0.038127,0.437740
