object_code,object_id,room_id,floor_id,class,file,cluster_id,center_x,center_y,center_z,size_x,size_y,size_z,yaw_rad
1-6-0,0,6,1,table,table_006.ply,0,4.294605,3.450055,3.368941,0.176409,0.071562,0.193452,-0.186049
1-6-1,1,6,1,shell,shell_006.ply,0,4.249245,3.145299,4.746556,2.752060,1.754131,4.236323,-0.001651
1-6-2,2,6,1,window,window_006.ply,0,2.928054,2.954264,2.836876,0.071075,0.018313,0.026955,0.081540
1-6-3,3,6,1,window,window_006.ply,1,5.404449,3.203846,4.193471,0.091160,0.044772,0.057825,-0.544287
1-6-4,4,6,1,window,window_006.ply,2,5.386711,3.315974,4.188818,0.091720,0.013889,0.084891,-0.062494
1-6-5,5,6,1,window,window_006.ply,3,5.256370,3.209131,4.370054,0.060326,0.037834,0.078245,-1.402166
1-6-6,6,6,1,door,door_006.ply,0,3.045390,3.470481,3.775401,1.105048,0.375524,2.030405,-1.540262
