room_id, floor_id, room_type, total_area, total_volume, length, width, height,ply_path,n_points
1,1,some room,0,0,0,0,0,data\output\floor_1\room_001\shell_001.ply,1724019
2,1,some room,0,0,0,0,0,data\output\floor_1\room_002\shell_002.ply,1160114
3,1,some room,0,0,0,0,0,data\output\floor_1\room_003\shell_003.ply,1503866
4,1,some room,0,0,0,0,0,data\output\floor_1\room_004\shell_004.ply,1645840
5,1,some room,0,0,0,0,0,data\output\floor_1\room_005\shell_005.ply,1082151
6,1,some room,0,0,0,0,0,data\output\floor_1\room_006\shell_006.ply,728481
7,1,some room,0,0,0,0,0,data\output\floor_1\room_007\shell_007.ply,654450
