object_code,object_id,room_id,floor_id,class,file,cluster_id,center_x,center_y,center_z,size_x,size_y,size_z,yaw_rad
1-3-0,0,3,1,door,door_003.ply,0,4.056761,8.969600,4.005428,1.000024,0.337482,2.012080,-0.135068
1-3-1,1,3,1,shell,shell_003.ply,0,4.494459,10.649076,4.801882,4.132133,2.363620,4.346936,-2.007547
1-3-2,2,3,1,window,window_003.ply,0,4.066220,9.260836,4.862739,0.688246,0.100536,0.066364,-0.049671
1-3-3,3,3,1,window,window_003.ply,1,5.130237,12.362432,3.894608,0.503433,0.223860,0.529514,-0.431123
