object_code,object_id,room_id,floor_id,class,file,cluster_id,center_x,center_y,center_z,size_x,size_y,size_z,yaw_rad
0-1-0,0,1,0,chair,chair_001.ply,0,11.015238,11.799268,0.641592,0.644183,0.515798,0.563256,-1.328208
0-1-1,1,1,0,curtain,curtain_001.ply,0,11.181686,11.534571,0.315298,0.048084,0.025745,0.088339,0.435543
0-1-2,2,1,0,curtain,curtain_001.ply,1,11.128717,11.380467,0.314508,0.077669,0.004752,0.031064,-1.520652
0-1-3,3,1,0,door,door_001.ply,0,11.676721,11.448623,1.268192,2.420220,1.446902,2.293079,-1.212348
0-1-4,4,1,0,door,door_001.ply,1,11.359861,10.665545,0.509703,1.096139,0.026002,0.660824,-0.074932
0-1-5,5,1,0,plant,plant_001.ply,0,13.181714,11.143000,0.263031,0.265119,0.197243,0.334749,-0.940478
0-1-6,6,1,0,plant,plant_001.ply,1,13.320587,12.021836,0.162745,0.169572,0.073965,0.129726,0.420305
0-1-7,7,1,0,plant,plant_001.ply,2,13.616618,12.163676,0.257645,0.112616,0.051215,0.135152,-1.880390
0-1-8,8,1,0,plant,plant_001.ply,3,13.648108,12.146070,0.510496,0.118889,0.073663,0.096687,0.660951
0-1-9,9,1,0,plant,plant_001.ply,4,12.115899,12.193618,0.212605,0.139651,0.074308,0.188388,-1.591259
0-1-10,10,1,0,plant,plant_001.ply,5,12.088108,12.214419,0.451760,0.276666,0.224910,0.471852,-1.086555
0-1-11,11,1,0,shell,shell_001.ply,0,12.355094,11.447869,1.424122,3.497265,2.855066,2.808513,-0.479998
0-1-12,12,1,0,window,window_001.ply,0,11.614429,10.758058,0.808218,0.776956,0.322886,0.655279,0.035554
0-1-13,13,1,0,window,window_001.ply,1,11.325448,11.615805,2.103321,0.219439,0.184570,0.417540,0.655869
0-1-14,14,1,0,window,window_001.ply,2,11.362117,11.920850,2.179744,0.220109,0.065671,0.300585,-1.790048
0-1-15,15,1,0,window,window_001.ply,3,13.542491,12.417624,1.959220,0.685122,0.319611,1.267200,-0.072732
0-1-16,16,1,0,window,window_001.ply,4,11.489202,12.515263,1.035100,0.151209,0.122275,0.631159,-2.111810
