object_code,object_id,room_id,floor_id,class,file,cluster_id,center_x,center_y,center_z,size_x,size_y,size_z,yaw_rad
0-3-0,0,3,0,plant,plant_003.ply,0,4.477170,10.788210,1.183400,0.269946,0.208562,0.205398,-1.234726
0-3-1,1,3,0,table,table_003.ply,0,2.764401,10.400412,0.420440,2.451226,1.010415,0.780879,-1.612628
0-3-2,2,3,0,table,table_003.ply,1,1.297932,11.490201,0.868064,1.272969,0.384487,0.061126,-1.637200
0-3-3,3,3,0,table,table_003.ply,2,4.504739,10.148009,0.530354,1.008136,1.146770,0.879555,-0.738940
0-3-4,4,3,0,shell,shell_003.ply,0,3.543425,9.645522,1.362172,7.998076,7.515815,2.932444,-0.960138
0-3-5,5,3,0,chair,chair_003.ply,0,3.188523,9.766767,0.486132,0.573118,0.483390,0.869131,0.045085
0-3-6,6,3,0,chair,chair_003.ply,1,3.250180,10.302236,0.482424,0.525041,0.478154,0.858654,0.062398
0-3-7,7,3,0,chair,chair_003.ply,2,2.266831,10.822807,0.471671,1.019588,0.705417,0.893018,-1.719552
0-3-8,8,3,0,chair,chair_003.ply,3,3.295955,10.994001,0.487838,0.596907,0.555365,0.863247,0.325444
0-3-9,9,3,0,curtain,curtain_003.ply,0,0.949036,11.779968,1.425787,0.833885,0.295435,1.950200,-1.653133
0-3-10,10,3,0,curtain,curtain_003.ply,1,0.797001,9.303309,1.491410,0.841091,0.288074,2.008575,-1.634406
0-3-11,11,3,0,door,door_003.ply,0,6.153721,8.708681,1.139537,1.011478,0.503583,2.101021,-1.587302
0-3-12,12,3,0,window,window_003.ply,0,0.731575,11.374990,1.482871,1.802688,0.673602,2.127429,-1.799061
0-3-13,13,3,0,window,window_003.ply,1,0.739757,9.501925,1.502228,1.733289,1.124002,2.225193,-1.486037
