file,cluster_id,center_x,center_y,center_z,size_x,size_y,size_z,yaw_rad
table_006.ply,0,4.294605,3.450055,3.368941,0.176409,0.071562,0.193452,-0.186049
shell_006.ply,0,4.249245,3.145299,4.746556,2.752060,1.754131,4.236323,-0.001651
window_006.ply,0,2.928054,2.954264,2.836876,0.071075,0.018313,0.026955,0.081540
window_006.ply,1,5.404449,3.203846,4.193471,0.091160,0.044772,0.057825,-0.544287
window_006.ply,2,5.386711,3.315974,4.188818,0.091720,0.013889,0.084891,-0.062494
door_006.ply,0,3.045441,3.470464,3.775401,1.105062,0.375471,2.030405,-1.540402
