object_code,object_id,room_id,floor_id,class,file,cluster_id,center_x,center_y,center_z,size_x,size_y,size_z,yaw_rad
0-5-0,0,5,0,shell,shell_005.ply,0,3.945172,6.264799,1.362175,2.795635,2.113893,2.932414,-0.567683
0-5-1,1,5,0,door,door_005.ply,0,4.942320,5.667176,0.497382,0.146480,0.100050,0.935421,0.059394
0-5-2,2,5,0,door,door_005.ply,1,3.742468,5.521478,1.410401,1.264878,0.284335,1.586766,-0.093491
0-5-3,3,5,0,door,door_005.ply,2,3.621628,6.700931,2.010229,0.389452,0.044537,0.599630,-0.087091
