object_code,object_id,room_id,floor_id,class,file,cluster_id,center_x,center_y,center_z,size_x,size_y,size_z,yaw_rad
1-1-0,0,1,1,door,door_001.ply,0,4.289355,7.559855,4.026518,0.901170,0.791371,1.992387,0.435899
1-1-1,1,1,1,door,door_001.ply,1,3.093767,8.449992,3.992327,0.402954,0.282809,2.036366,-0.718554
1-1-2,2,1,1,door,door_001.ply,2,4.160406,8.544521,3.937381,0.569866,0.105494,2.022732,-2.179258
1-1-3,3,1,1,shell,shell_001.ply,0,3.584598,7.647151,4.787648,5.694148,2.947143,4.318491,0.333389
