object_code,object_id,room_id,floor_id,class,file,cluster_id,center_x,center_y,center_z,size_x,size_y,size_z,yaw_rad
1-2-0,0,2,1,shell,shell_002.ply,0,2.210352,9.996057,4.777395,4.028715,3.016093,4.297996,-1.835552
1-2-1,1,2,1,chair,chair_002.ply,0,1.746527,8.874576,3.455485,0.862481,0.481439,0.370767,-0.585872
1-2-2,2,2,1,door,door_002.ply,0,2.770128,8.556886,3.987604,0.499149,0.123927,1.911713,-0.304773
1-2-3,3,2,1,door,door_002.ply,1,2.884970,11.551399,4.214269,0.790443,0.081836,1.048212,-0.098796
1-2-4,4,2,1,window,window_002.ply,0,1.193906,10.353446,4.257887,0.422871,0.226641,0.347593,-2.153288
1-2-5,5,2,1,window,window_002.ply,1,1.448045,10.239138,4.509546,0.488414,0.206032,0.220079,-1.698765
