object_code,object_id,room_id,floor_id,class,file,cluster_id,center_x,center_y,center_z,size_x,size_y,size_z,yaw_rad
1-5-0,0,5,1,door,door_005.ply,0,2.593796,5.654613,3.870012,0.863298,0.144893,1.920554,0.102955
1-5-1,1,5,1,door,door_005.ply,1,2.922488,4.902986,3.782262,0.144164,0.104337,1.855752,0.114115
1-5-2,2,5,1,shell,shell_005.ply,0,2.055198,4.806757,4.737391,4.177125,2.349759,4.217992,-1.452233
1-5-3,3,5,1,table,table_005.ply,0,1.413435,6.295362,2.759160,0.434333,0.193989,0.014746,-0.715000
1-5-4,4,5,1,table,table_005.ply,1,1.492117,6.304871,2.852263,0.389856,0.292333,0.012474,-0.775402
1-5-5,5,5,1,window,window_005.ply,0,2.887107,5.281331,4.785820,0.845705,0.211539,0.270497,-1.602759
