object_code,object_id,room_id,floor_id,class,file,cluster_id,center_x,center_y,center_z,size_x,size_y,size_z,yaw_rad
0-7-0,0,7,0,shell,shell_007.ply,0,2.549024,3.028222,1.398951,6.180261,5.373959,2.858886,-1.415439
0-7-1,1,7,0,table,table_007.ply,0,2.015712,2.280180,0.347649,1.023965,0.704026,0.061175,-1.593218
0-7-2,2,7,0,table,table_007.ply,1,4.009849,0.912272,0.366279,0.971864,0.912035,0.097189,-1.936190
0-7-3,3,7,0,chair,chair_007.ply,0,2.074694,3.600119,0.245510,0.540242,0.262174,0.440406,-1.622140
0-7-4,4,7,0,chair,chair_007.ply,1,2.555937,3.941446,0.825500,0.486093,0.226238,0.331319,-1.014485
0-7-5,5,7,0,chair,chair_007.ply,2,0.862346,3.477262,0.217817,0.477121,0.099939,0.442299,-1.631344
0-7-6,6,7,0,monitor,monitor_007.ply,0,0.777221,1.090262,1.108902,0.766126,0.067099,0.419998,-0.909823
0-7-7,7,7,0,window,window_007.ply,0,0.656901,2.282994,1.815399,1.768773,0.907927,1.228390,-1.660639
0-7-8,8,7,0,window,window_007.ply,1,3.195883,0.377644,1.594105,2.663484,0.498409,2.031734,-0.181884
0-7-9,9,7,0,window,window_007.ply,2,2.338856,1.006410,2.392627,3.909085,0.189612,0.135458,-0.060179
0-7-10,10,7,0,window,window_007.ply,3,1.055902,0.436080,1.569624,1.559027,0.282723,1.961934,-0.111537
0-7-11,11,7,0,window,window_007.ply,4,0.349541,2.421885,0.781015,1.305832,0.273799,1.035388,-1.672902
0-7-12,12,7,0,couch,couch_007.ply,0,3.881779,2.327255,0.450288,2.004373,1.926965,0.900277,-1.980656
0-7-13,13,7,0,couch,couch_007.ply,1,0.883841,1.923198,0.320209,0.754623,0.688480,0.667771,-0.705820
0-7-14,14,7,0,couch,couch_007.ply,2,0.965339,2.809659,0.318992,0.790680,0.642883,0.638200,0.775310
0-7-15,15,7,0,door,door_007.ply,0,4.382615,4.029976,1.109857,1.067550,1.127308,2.180263,0.006730
0-7-16,16,7,0,door,door_007.ply,1,3.536827,5.456415,1.116041,1.667228,0.457601,2.175485,-0.074657
0-7-17,17,7,0,door,door_007.ply,2,1.607692,5.586886,1.093424,1.356047,0.546353,2.157475,0.156222
0-7-18,18,7,0,curtain,curtain_007.ply,0,0.496226,3.072610,1.248482,0.684058,0.332345,2.002996,-1.649907
0-7-19,19,7,0,curtain,curtain_007.ply,1,4.245448,0.331725,1.457508,0.637702,0.196263,2.016131,0.017857
0-7-20,20,7,0,curtain,curtain_007.ply,2,0.717168,0.480509,1.589983,0.536947,0.285336,1.800304,-0.047408
0-7-21,21,7,0,curtain,curtain_007.ply,3,0.432509,1.648573,1.335218,0.484252,0.252050,1.770291,-1.741346
