room_id,ply_path,n_points
1,output_house\floor_1\room_001\window_001.ply,8516
2,output_house\floor_1\room_002\window_002.ply,5428
4,output_house\floor_1\room_004\window_004.ply,139
5,output_house\floor_1\room_005\window_005.ply,6172
6,output_house\floor_1\room_006\window_006.ply,345
7,output_house\floor_1\room_007\window_007.ply,166
