object_code,object_id,room_id,floor_id,class,file,cluster_id,center_x,center_y,center_z,size_x,size_y,size_z,yaw_rad
0-2-0,0,2,0,chair,chair_002.ply,0,3.192035,9.765839,0.486132,0.568017,0.466027,0.869131,-0.000524
0-2-1,1,2,0,chair,chair_002.ply,1,3.250344,10.303723,0.482424,0.524463,0.460702,0.858654,-0.022866
0-2-2,2,2,0,chair,chair_002.ply,2,2.410205,9.875510,0.460737,0.581311,0.389873,0.862757,-0.661797
0-2-3,3,2,0,chair,chair_002.ply,3,2.231298,10.551085,0.471671,0.716677,0.492409,0.893018,-0.244115
0-2-4,4,2,0,chair,chair_002.ply,4,3.300279,10.981305,0.487838,0.599049,0.529824,0.863247,0.336268
0-2-5,5,2,0,chair,chair_002.ply,5,3.782470,11.858294,0.389035,0.632663,0.550705,0.456553,-1.210797
0-2-6,6,2,0,chair,chair_002.ply,6,2.168614,11.126868,0.678221,0.486704,0.286860,0.435920,-2.057652
0-2-7,7,2,0,curtain,curtain_002.ply,0,0.949105,11.779979,1.445117,0.833885,0.295765,1.911540,-1.654021
0-2-8,8,2,0,curtain,curtain_002.ply,1,0.797018,9.303307,1.518985,0.841094,0.288095,1.953425,-1.634282
0-2-9,9,2,0,door,door_002.ply,0,6.172754,8.715782,1.139537,1.014784,0.744016,2.101021,-1.813109
0-2-10,10,2,0,door,door_002.ply,1,5.909606,10.402059,2.639583,0.405808,0.157383,0.063641,-0.084361
0-2-11,11,2,0,plant,plant_002.ply,0,4.477160,10.788189,1.183400,0.269930,0.208501,0.205398,-1.236600
0-2-12,12,2,0,shell,shell_002.ply,0,3.418560,9.603212,1.362164,8.323006,8.031780,2.932460,-1.032495
0-2-13,13,2,0,table,table_002.ply,0,2.762730,10.400300,0.420440,2.452624,1.010665,0.780879,-1.609708
0-2-14,14,2,0,table,table_002.ply,1,1.306903,11.474741,0.868064,1.243430,0.367085,0.061126,-1.640466
0-2-15,15,2,0,table,table_002.ply,2,4.425065,10.020274,0.530354,0.921505,0.825436,0.879555,-0.507106
0-2-16,16,2,0,window,window_002.ply,0,0.667671,10.454385,1.468109,3.614898,0.756202,2.156954,-1.641735
0-2-17,17,2,0,window,window_002.ply,1,1.435636,12.578718,1.492731,1.005109,0.413114,1.228233,-0.116126
0-2-18,18,2,0,window,window_002.ply,2,1.539342,7.141885,1.908363,0.454350,0.170805,0.435879,-0.057797
