object_code,object_id,room_id,floor_id,class,file,cluster_id,center_x,center_y,center_z,size_x,size_y,size_z,yaw_rad
1-5-0,0,5,1,table,table_005.ply,0,1.413435,6.295362,2.759160,0.434333,0.193989,0.014746,-0.715001
1-5-1,1,5,1,table,table_005.ply,1,1.492116,6.304872,2.852263,0.389856,0.292333,0.012474,-0.775402
1-5-2,2,5,1,shell,shell_005.ply,0,2.045624,4.935238,4.737391,4.444385,2.361350,4.217992,-1.435503
1-5-3,3,5,1,door,door_005.ply,0,2.593797,5.654611,3.870012,0.863298,0.144892,1.920554,0.102960
1-5-4,4,5,1,window,window_005.ply,0,2.887136,5.281326,4.785820,0.845699,0.211543,0.270497,-1.602681
