object_code,object_id,room_id,floor_id,class,file,cluster_id,center_x,center_y,center_z,size_x,size_y,size_z,yaw_rad
1-4-0,0,4,1,chair,chair_004.ply,0,1.751312,8.880351,3.477633,0.862564,0.470238,0.326471,-0.592420
1-4-1,1,4,1,door,door_004.ply,0,2.775917,8.575296,3.987604,0.499143,0.085242,1.911713,-0.305054
1-4-2,2,4,1,door,door_004.ply,1,3.166844,8.757485,4.950218,0.480642,0.147897,0.060585,-1.621182
1-4-3,3,4,1,door,door_004.ply,2,2.884909,11.550828,4.214269,0.790446,0.080607,1.048212,-0.099457
1-4-4,4,4,1,shell,shell_004.ply,0,2.215728,9.997588,4.777395,3.980319,2.935561,4.297996,-1.804454
1-4-5,5,4,1,window,window_004.ply,0,1.193903,10.353478,4.263323,0.422876,0.226641,0.296090,-2.153665
1-4-6,6,4,1,window,window_004.ply,1,1.469657,10.266702,4.526842,0.363357,0.159230,0.185487,-1.456166
1-4-7,7,4,1,window,window_004.ply,2,1.410030,10.037722,4.519923,0.180362,0.058224,0.139788,-0.573722
