object_code,object_id,room_id,floor_id,class,file,cluster_id,center_x,center_y,center_z,size_x,size_y,size_z,yaw_rad
1-2-0,0,2,1,door,door_002.ply,0,3.758526,4.044505,3.839983,0.277116,0.234661,1.920458,-1.879046
1-2-1,1,2,1,shell,shell_002.ply,0,4.834215,5.410073,4.549092,3.909884,2.615834,3.841381,-1.923872
1-2-2,2,2,1,window,window_002.ply,0,5.762452,5.925028,4.151284,0.149713,0.006580,0.033908,-1.608867
1-2-3,3,2,1,window,window_002.ply,1,5.389301,5.921090,4.458563,0.054339,0.013744,0.038127,0.437740
