room_id,ply_path,n_points
1,output_house\floor_0\room_001\window_001.ply,396957
2,output_house\floor_0\room_002\window_002.ply,36692
3,output_house\floor_0\room_003\window_003.ply,379429
4,output_house\floor_0\room_004\window_004.ply,691
6,output_house\floor_0\room_006\window_006.ply,46403
7,output_house\floor_0\room_007\window_007.ply,180966
