object_code,object_id,room_id,floor_id,class,file,cluster_id,center_x,center_y,center_z,size_x,size_y,size_z,yaw_rad
0-3-0,0,3,0,couch,couch_003.ply,0,4.538350,1.880874,0.564462,0.846661,0.187241,0.365301,-1.703814
0-3-1,1,3,0,curtain,curtain_003.ply,0,4.489801,0.295532,1.157339,0.173689,0.176862,1.357210,0.482984
0-3-2,2,3,0,door,door_003.ply,0,4.803514,4.057942,1.102542,1.176325,0.445248,2.194893,-1.754910
0-3-3,3,3,0,door,door_003.ply,1,5.312625,5.668840,0.494539,0.881470,0.374128,0.941108,0.179112
0-3-4,4,3,0,door,door_003.ply,2,5.134830,0.284232,0.971775,1.394603,0.883580,2.151660,-0.066502
0-3-5,5,3,0,shell,shell_003.ply,0,5.413613,3.138999,1.362176,6.579791,1.926959,2.932436,-1.596621
0-3-6,6,3,0,table,table_003.ply,0,6.300838,2.321894,0.211938,0.065158,0.026855,0.372575,-1.627635
0-3-7,7,3,0,table,table_003.ply,1,6.275559,2.815233,0.683569,1.011375,0.095438,0.075019,-1.594394
0-3-8,8,3,0,table,table_003.ply,2,4.455554,1.184612,0.409155,0.148642,0.085539,0.011438,-1.548500
0-3-9,9,3,0,window,window_003.ply,0,5.250572,0.016335,1.919376,1.079580,0.236490,1.258427,-0.070782
0-3-10,10,3,0,window,window_003.ply,1,5.380786,0.818435,2.397100,0.272995,0.182539,0.059600,-0.285390
0-3-11,11,3,0,window,window_003.ply,2,4.468806,0.294758,2.098335,0.125023,0.075179,0.657022,0.288276
0-3-12,12,3,0,window,window_003.ply,3,4.516417,-0.090855,1.514957,0.206349,0.057997,1.411273,-0.014776
