object_code,object_id,room_id,floor_id,class,file,cluster_id,center_x,center_y,center_z,size_x,size_y,size_z,yaw_rad
0-1-0,0,1,0,plant,plant_001.ply,0,-0.025469,4.879755,0.467652,1.625831,0.352428,1.143409,-1.550390
0-1-1,1,1,0,plant,plant_001.ply,1,0.136609,12.799410,0.917877,0.493078,0.476852,1.446488,-1.877915
0-1-2,2,1,0,shell,shell_001.ply,0,0.082692,7.347660,1.362160,11.417341,0.783285,2.932453,-1.617653
0-1-3,3,1,0,window,window_001.ply,0,0.491282,10.239193,1.452954,3.571891,0.386609,2.126645,-1.661726
0-1-4,4,1,0,window,window_001.ply,1,0.021567,2.589712,1.244153,1.902850,0.385485,2.189811,-1.568291
